Sl. No.,India/State/UT,Total,Primary,Upper Primary,Secondary,Higher Secondary
1,India,1471891,736611,432416,143978,158886
2,Andaman and Nicobar Islands,412,209,79,54,70
3,Andhra Pradesh,61373,37751,8274,11586,3762
4,Arunachal Pradesh,3490,1695,1283,331,181
5,Assam,56630,37481,9441,7073,2635
6,Bihar,94686,41660,40443,1933,10650
7,Chandigarh,230,14,42,70,104
8,Chhattisgarh,56615,32461,16570,2704,4880
9,Dadra and Nagar Haveli and Daman and Diu,432,162,175,38,57
10,Delhi,5497,2481,806,340,1870
11,Goa,1487,862,77,423,125
12,Gujarat,53626,13537,27052,4449,8588
13,Haryana,23517,9632,4985,2765,6135
14,Himachal Pradesh,17826,10836,2492,1788,2710
15,Jammu and Kashmir,24296,10625,9175,3199,1297
16,Jharkhand,44475,23337,16062,3233,1843
17,Karnataka,75869,23436,30328,16324,5781
18,Kerala,15864,6416,4452,1977,3019
19,Ladakh,995,392,438,114,51
20,Lakshadweep,37,15,9,0,13
21,Madhya Pradesh,123412,60976,44108,8210,10118
22,Maharashtra,108237,49906,29252,17826,11253
23,Manipur,4646,2447,944,967,288
24,Meghalaya,14601,9156,3528,1494,423
25,Mizoram,3941,1465,1532,720,224
26,Nagaland,2725,1138,782,583,222
27,Odisha,61693,28635,20844,9415,2799
28,Puducherry,735,273,69,185,208
29,Punjab,27404,13468,4637,4014,5285
30,Rajasthan,107757,37757,34515,7356,28129
31,Sikkim,1254,668,315,144,127
32,Tamil Nadu,58722,33995,10044,5679,9004
33,Telangana,42901,20539,7482,11566,3314
34,Tripura,4923,2472,1247,671,533
35,Uttar Pradesh,255087,133331,86798,12092,22866
36,Uttarakhand,22551,12929,5503,1403,2716
37,West Bengal,93945,74454,8633,3252,7606
